contract,tool,rule,category,severity,status,description
integer_overflow_benign_1.sol,Mythril,,No Issues,,Clean,
blackjack.sol,Mythril,,No Issues,,Clean,
etheraffle.sol,Mythril,,,,Failed,Analysis Timeout
guess_the_random_number.sol,Mythril,105,Unprotected Ether Withdrawal,High,Detected,Any sender can withdraw Ether from the contract account. Arbitrary senders other than the contract creator can profitably extract Ether from the contract account. Verify the business logic carefully and make sure that appropriate security controls are in place to prevent unexpected loss of funds.
lottery.sol,Mythril,,No Issues,,Clean,
lucky_doubler.sol,Mythril,,No Issues,,Clean,
auction.sol,Mythril,114,Transaction Order Dependence,Medium,Detected,The value of the call is dependent on balance or storage write This can lead to race conditions. An attacker may be able to run a transaction after our transaction which can change the value of the call
dos_address.sol,Mythril,,No Issues,,Clean,
dos_number.sol,Mythril,,No Issues,,Clean,
dos_simple.sol,Mythril,,No Issues,,Clean,
list_dos.sol,Mythril,,No Issues,,Clean,
ERC20.sol,Mythril,,No Issues,,Clean,
FindThisHash.sol,Mythril,,No Issues,,Clean,
eth_tx_order_dependence_minimal.sol,Mythril,114,Transaction Order Dependence,Medium,Detected,The value of the call is dependent on balance or storage write This can lead to race conditions. An attacker may be able to run a transaction after our transaction which can change the value of the call
eth_tx_order_dependence_minimal.sol,Mythril,105,Unprotected Ether Withdrawal,High,Detected,Any sender can withdraw Ether from the contract account. Arbitrary senders other than the contract creator can profitably extract Ether from the contract account. Verify the business logic carefully and make sure that appropriate security controls are in place to prevent unexpected loss of funds.
odds_and_evens.sol,Mythril,,No Issues,,Clean,
reentrance.sol,Mythril,107,External Call To User-Supplied Address,Low,Detected,A call to a user-supplied address is executed. An external message call to an address specified by the caller is executed. Note that the callee account might contain arbitrary code and could re-enter any function within this contract. Reentering the contract in an intermediate state may lead to unexpected behaviour. Make sure that no state modifications are executed after this call and/or reentrancy guards are in place.
reentrance.sol,Mythril,104,Unchecked return value from external call.,Medium,Detected,"The return value of a message call is not checked. External calls return a boolean value. If the callee halts with an exception, 'false' is returned and execution continues in the caller. The caller should check whether an exception happened and react accordingly to avoid unexpected behavior. For example it is often desirable to wrap external calls in require() so the transaction is reverted if the call fails."
reentrance.sol,Mythril,105,Unprotected Ether Withdrawal,High,Detected,Any sender can withdraw Ether from the contract account. Arbitrary senders other than the contract creator can profitably extract Ether from the contract account. Verify the business logic carefully and make sure that appropriate security controls are in place to prevent unexpected loss of funds.
reentrance.sol,Mythril,107,State access after external call,Medium,Detected,"Read of persistent state following external call The contract account state is accessed after an external call to a user defined address. To prevent reentrancy issues, consider accessing the state only before the call, especially if the callee is untrusted. Alternatively, a reentrancy lock can be used to prevent untrusted callees from re-entering the contract in an intermediate state."
reentrance.sol,Mythril,107,State access after external call,Medium,Detected,"Write to persistent state following external call The contract account state is accessed after an external call to a user defined address. To prevent reentrancy issues, consider accessing the state only before the call, especially if the callee is untrusted. Alternatively, a reentrancy lock can be used to prevent untrusted callees from re-entering the contract in an intermediate state."
reentrancy_bonus.sol,Mythril,107,State access after external call,Medium,Detected,"Read of persistent state following external call The contract account state is accessed after an external call to a user defined address. To prevent reentrancy issues, consider accessing the state only before the call, especially if the callee is untrusted. Alternatively, a reentrancy lock can be used to prevent untrusted callees from re-entering the contract in an intermediate state."
reentrancy_bonus.sol,Mythril,107,State access after external call,Medium,Detected,"Write to persistent state following external call The contract account state is accessed after an external call to a user defined address. To prevent reentrancy issues, consider accessing the state only before the call, especially if the callee is untrusted. Alternatively, a reentrancy lock can be used to prevent untrusted callees from re-entering the contract in an intermediate state."
reentrancy_bonus.sol,Mythril,107,External Call To User-Supplied Address,Low,Detected,A call to a user-supplied address is executed. An external message call to an address specified by the caller is executed. Note that the callee account might contain arbitrary code and could re-enter any function within this contract. Reentering the contract in an intermediate state may lead to unexpected behaviour. Make sure that no state modifications are executed after this call and/or reentrancy guards are in place.
reentrancy_bonus.sol,Mythril,114,Transaction Order Dependence,Medium,Detected,The value of the call is dependent on balance or storage write This can lead to race conditions. An attacker may be able to run a transaction after our transaction which can change the value of the call
reentrancy_bonus.sol,Mythril,105,Unprotected Ether Withdrawal,High,Detected,Any sender can withdraw Ether from the contract account. Arbitrary senders other than the contract creator can profitably extract Ether from the contract account. Verify the business logic carefully and make sure that appropriate security controls are in place to prevent unexpected loss of funds.
reentrancy_bonus.sol,Mythril,105,Unprotected Ether Withdrawal,High,Detected,Any sender can withdraw Ether from the contract account. Arbitrary senders other than the contract creator can profitably extract Ether from the contract account. Verify the business logic carefully and make sure that appropriate security controls are in place to prevent unexpected loss of funds.
reentrancy_cross_function.sol,Mythril,107,External Call To User-Supplied Address,Low,Detected,A call to a user-supplied address is executed. An external message call to an address specified by the caller is executed. Note that the callee account might contain arbitrary code and could re-enter any function within this contract. Reentering the contract in an intermediate state may lead to unexpected behaviour. Make sure that no state modifications are executed after this call and/or reentrancy guards are in place.
reentrancy_cross_function.sol,Mythril,114,Transaction Order Dependence,Medium,Detected,The value of the call is dependent on balance or storage write This can lead to race conditions. An attacker may be able to run a transaction after our transaction which can change the value of the call
reentrancy_cross_function.sol,Mythril,107,State access after external call,Medium,Detected,"Write to persistent state following external call The contract account state is accessed after an external call to a user defined address. To prevent reentrancy issues, consider accessing the state only before the call, especially if the callee is untrusted. Alternatively, a reentrancy lock can be used to prevent untrusted callees from re-entering the contract in an intermediate state."
reentrancy_dao.sol,Mythril,107,External Call To User-Supplied Address,Low,Detected,A call to a user-supplied address is executed. An external message call to an address specified by the caller is executed. Note that the callee account might contain arbitrary code and could re-enter any function within this contract. Reentering the contract in an intermediate state may lead to unexpected behaviour. Make sure that no state modifications are executed after this call and/or reentrancy guards are in place.
reentrancy_dao.sol,Mythril,114,Transaction Order Dependence,Medium,Detected,The value of the call is dependent on balance or storage write This can lead to race conditions. An attacker may be able to run a transaction after our transaction which can change the value of the call
reentrancy_dao.sol,Mythril,107,State access after external call,Medium,Detected,"Write to persistent state following external call The contract account state is accessed after an external call to a user defined address. To prevent reentrancy issues, consider accessing the state only before the call, especially if the callee is untrusted. Alternatively, a reentrancy lock can be used to prevent untrusted callees from re-entering the contract in an intermediate state."
reentrancy_insecure.sol,Mythril,107,External Call To User-Supplied Address,Low,Detected,A call to a user-supplied address is executed. An external message call to an address specified by the caller is executed. Note that the callee account might contain arbitrary code and could re-enter any function within this contract. Reentering the contract in an intermediate state may lead to unexpected behaviour. Make sure that no state modifications are executed after this call and/or reentrancy guards are in place.
reentrancy_insecure.sol,Mythril,114,Transaction Order Dependence,Medium,Detected,The value of the call is dependent on balance or storage write This can lead to race conditions. An attacker may be able to run a transaction after our transaction which can change the value of the call
reentrancy_insecure.sol,Mythril,107,State access after external call,Medium,Detected,"Write to persistent state following external call The contract account state is accessed after an external call to a user defined address. To prevent reentrancy issues, consider accessing the state only before the call, especially if the callee is untrusted. Alternatively, a reentrancy lock can be used to prevent untrusted callees from re-entering the contract in an intermediate state."
short_address_example.sol,Mythril,110,Exception State,Medium,Detected,"An assertion violation was triggered. It is possible to trigger an assertion violation. Note that Solidity assert() statements should only be used to check invariants. Review the transaction trace generated for this issue and either make sure your program logic is correct, or use require() instead of assert() if your goal is to constrain user inputs or enforce preconditions. Remember to validate inputs from both callers (for instance, via passed arguments) and callees (for instance, via return values)."
short_address_example.sol,Mythril,110,Exception State,Medium,Detected,"An assertion violation was triggered. It is possible to trigger an assertion violation. Note that Solidity assert() statements should only be used to check invariants. Review the transaction trace generated for this issue and either make sure your program logic is correct, or use require() instead of assert() if your goal is to constrain user inputs or enforce preconditions. Remember to validate inputs from both callers (for instance, via passed arguments) and callees (for instance, via return values)."
ether_lotto.sol,Mythril,110,Exception State,Medium,Detected,"An assertion violation was triggered. It is possible to trigger an assertion violation. Note that Solidity assert() statements should only be used to check invariants. Review the transaction trace generated for this issue and either make sure your program logic is correct, or use require() instead of assert() if your goal is to constrain user inputs or enforce preconditions. Remember to validate inputs from both callers (for instance, via passed arguments) and callees (for instance, via return values)."
ether_lotto.sol,Mythril,116,Dependence on predictable environment variable,Low,Detected,"A control flow decision is made based on The block.timestamp environment variable. The block.timestamp environment variable is used to determine a control flow decision. Note that the values of variables like coinbase, gaslimit, block number and timestamp are predictable and can be manipulated by a malicious miner. Also keep in mind that attackers know hashes of earlier blocks. Don't use any of those environment variables as sources of randomness and be aware that use of these variables introduces a certain level of trust into miners."
ether_lotto.sol,Mythril,113,Multiple Calls in a Single Transaction,Low,Detected,"Multiple calls are executed in the same transaction. This call is executed following another call within the same transaction. It is possible that the call never gets executed if a prior call fails permanently. This might be caused intentionally by a malicious callee. If possible, refactor the code such that each transaction only executes one external call or make sure that all callees can be trusted (i.e. they’re part of your own codebase)."
ether_lotto.sol,Mythril,114,Transaction Order Dependence,Medium,Detected,The value of the call is dependent on balance or storage write This can lead to race conditions. An attacker may be able to run a transaction after our transaction which can change the value of the call
governmental_survey.sol,Mythril,,No Issues,,Clean,
lottopollo.sol,Mythril,,No Issues,,Clean,
roulette.sol,Mythril,,,,Failed,Analysis Timeout
timed_crowdsale.sol,Mythril,,No Issues,,Clean,
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,Mythril,,No Issues,,Clean,
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,Mythril,107,External Call To User-Supplied Address,Low,Detected,A call to a user-supplied address is executed. An external message call to an address specified by the caller is executed. Note that the callee account might contain arbitrary code and could re-enter any function within this contract. Reentering the contract in an intermediate state may lead to unexpected behaviour. Make sure that no state modifications are executed after this call and/or reentrancy guards are in place.
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,Mythril,104,Unchecked return value from external call.,Medium,Detected,"The return value of a message call is not checked. External calls return a boolean value. If the callee halts with an exception, 'false' is returned and execution continues in the caller. The caller should check whether an exception happened and react accordingly to avoid unexpected behavior. For example it is often desirable to wrap external calls in require() so the transaction is reverted if the call fails."
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,Mythril,107,External Call To User-Supplied Address,Low,Detected,A call to a user-supplied address is executed. An external message call to an address specified by the caller is executed. Note that the callee account might contain arbitrary code and could re-enter any function within this contract. Reentering the contract in an intermediate state may lead to unexpected behaviour. Make sure that no state modifications are executed after this call and/or reentrancy guards are in place.
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,Mythril,104,Unchecked return value from external call.,Medium,Detected,"The return value of a message call is not checked. External calls return a boolean value. If the callee halts with an exception, 'false' is returned and execution continues in the caller. The caller should check whether an exception happened and react accordingly to avoid unexpected behavior. For example it is often desirable to wrap external calls in require() so the transaction is reverted if the call fails."
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,Mythril,104,Unchecked return value from external call.,Medium,Detected,"The return value of a message call is not checked. External calls return a boolean value. If the callee halts with an exception, 'false' is returned and execution continues in the caller. The caller should check whether an exception happened and react accordingly to avoid unexpected behavior. For example it is often desirable to wrap external calls in require() so the transaction is reverted if the call fails."
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,Mythril,,,,Failed,Analysis Timeout
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,Mythril,,,,Failed,Analysis Timeout
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,Mythril,,No Issues,,Clean,
